outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP3_402_10319_20140928_155726_C1_scripted.sph	10319	20140928	155726	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_160053_S7_scripted.sph	10319	20140928	160053	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155922_T2_scripted.sph	10319	20140928	155922	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_160104_S9_scripted.sph	10319	20140928	160104	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155636_T1_scripted.sph	10319	20140928	155636	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_160001_S1_scripted.sph	10319	20140928	160001	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155815_O6_scripted.sph	10319	20140928	155815	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155932_D2_scripted.sph	10319	20140928	155932	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155947_S3_scripted.sph	10319	20140928	155947	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155745_O3_scripted.sph	10319	20140928	155745	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155754_C4_scripted.sph	10319	20140928	155754	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155736_C2_scripted.sph	10319	20140928	155736	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155836_O5_scripted.sph	10319	20140928	155836	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
BABEL_OP3_402_10319_20140928_155601_O8_scripted.sph	10319	20140928	155601	10319	inLine	CENTRAL	F	CAR_KIT	31	TELKOMSEL	LG	0	8000
