system,label_index,freesurfer_stats_roi_name,freesurfer_stats_file_name,hemisphere,component_description,status
vocal_motor,1018,parsopercularis,lh.aparc.stats,left,brocas_area_motor_speech_programming_pars_opercularis,exact_match
vocal_motor,1020,parstriangularis,lh.aparc.stats,left,brocas_area_speech_motor_planning_pars_triangularis,exact_match
vocal_motor,1024,precentral,lh.aparc.stats,left,left_primary_motor_cortex_speech_control_m1,exact_match
vocal_motor,1028,superiorfrontal,lh.aparc.stats,left,supplementary_motor_area_learned_vocalization_sma,partial_sma_subset
vocal_motor,1003,caudalmiddlefrontal,lh.aparc.stats,left,premotor_cortex,exact_match
vocal_motor,1031,supramarginal,lh.aparc.stats,left,inferior_parietal_cortex_phonemic_substitutions_word_formation,exact_match
vocal_motor,2018,parsopercularis,rh.aparc.stats,right,right_inferior_frontal_gyrus_motor_aprosodia_affective_tone,exact_match
vocal_motor,2020,parstriangularis,rh.aparc.stats,right,right_inferior_frontal_gyrus_pars_triangularis,exact_match
vocal_motor,2024,precentral,rh.aparc.stats,right,right_primary_motor_cortex,exact_match
vocal_motor,2028,superiorfrontal,rh.aparc.stats,right,right_supplementary_motor_area_sma,partial_sma_subset
vocal_motor,2003,caudalmiddlefrontal,rh.aparc.stats,right,right_premotor_cortex,exact_match
vocal_motor,2031,supramarginal,rh.aparc.stats,right,inferior_parietal_cortex,exact_match
cerebellum_vocal_control,8,Left-Cerebellum-Cortex,aseg.stats,left,left_cerebellar_timing_and_coordination,exact_match
cerebellum_vocal_control,47,Right-Cerebellum-Cortex,aseg.stats,right,right_cerebellar_timing_and_coordination,exact_match
limbic_vocalization,18,Left-Amygdala,aseg.stats,left,emotional_valence_fear_vocalizations,exact_match
limbic_vocalization,54,Right-Amygdala,aseg.stats,right,emotional_processing,exact_match
limbic_vocalization,26,Left-Accumbens-area,aseg.stats,left,left_accumbens_area_emotional_communication,exact_match
limbic_vocalization,58,Right-Accumbens-area,aseg.stats,right,reward_processing,exact_match
limbic_vocalization,10,Left-Thalamus-Proper,aseg.stats,left,sensorimotor_relay_emotional_modulation,exact_match
limbic_vocalization,49,Right-Thalamus-Proper,aseg.stats,right,thalamic_vocalization_pathways,exact_match
limbic_vocalization,16,Brain-Stem,aseg.stats,bilateral,pag_nucleus_ambiguus_reticular_formation,missing_subdivisions
limbic_vocalization,1002,caudalanteriorcingulate,lh.aparc.stats,left,acc_vocalization_drive,exact_match
limbic_vocalization,2002,caudalanteriorcingulate,rh.aparc.stats,right,acc_emotional_vocalization,exact_match
limbic_vocalization,1026,rostralanteriorcingulate,lh.aparc.stats,left,acc_emotional_vocalization_initiation,exact_match
limbic_vocalization,2026,rostralanteriorcingulate,rh.aparc.stats,right,right_acc,exact_match
limbic_vocalization,1014,medialorbitofrontal,lh.aparc.stats,left,medial_ofc_emotional_regulation,exact_match
limbic_vocalization,2014,medialorbitofrontal,rh.aparc.stats,right,medial_ofc_social_decision_making,exact_match
limbic_vocalization,28,Left-VentralDC,aseg.stats,left,hypothalamus_autonomic_drive_gating,approximate_not_true_hypothalamus
limbic_vocalization,60,Right-VentralDC,aseg.stats,right,hypothalamus_autonomic_drive_gating,approximate_not_true_hypothalamus
auditory_vocal_integration,1034,transversetemporal,lh.aparc.stats,left,primary_auditory_cortex_heschls_gyrus,exact_match
auditory_vocal_integration,1030,superiortemporal,lh.aparc.stats,left,secondary_auditory_voice_processing,exact_match
auditory_vocal_integration,1001,bankssts,lh.aparc.stats,left,superior_temporal_sulcus_social_voice,exact_match
auditory_vocal_integration,1015,middletemporal,lh.aparc.stats,left,auditory_association_cortex,exact_match
auditory_vocal_integration,1035,insula,lh.aparc.stats,left,auditory_motor_integration,exact_match
auditory_vocal_integration,2034,transversetemporal,rh.aparc.stats,right,right_primary_auditory_cortex,exact_match
auditory_vocal_integration,2030,superiortemporal,rh.aparc.stats,right,right_voice_processing_areas,exact_match
auditory_vocal_integration,2001,bankssts,rh.aparc.stats,right,right_sts,exact_match
auditory_vocal_integration,2015,middletemporal,rh.aparc.stats,right,right_auditory_association,exact_match
auditory_vocal_integration,2035,insula,rh.aparc.stats,right,right_auditory_motor_integration,exact_match
basal_ganglia_vocal_control,11,Left-Caudate,aseg.stats,left,motor_sequencing_vocal_learning,exact_match
basal_ganglia_vocal_control,50,Right-Caudate,aseg.stats,right,basal_ganglia_vocalization_control,exact_match
basal_ganglia_vocal_control,12,Left-Putamen,aseg.stats,left,motor_execution_articulation,exact_match
basal_ganglia_vocal_control,51,Right-Putamen,aseg.stats,right,motor_timing,exact_match
basal_ganglia_vocal_control,13,Left-Pallidum,aseg.stats,left,motor_gating_vocal_control,exact_match
basal_ganglia_vocal_control,52,Right-Pallidum,aseg.stats,right,vocalization_timing,exact_match
